id,platform,source_url,context_id,post_context,post_title,post_published_at_raw,post_published_at,comment_text,comment_type,parent_comment_id,thread_id,reply_depth,posted_at_raw,posted_at,likes_count,author_key,matched_groups,co_thanh_pho_khac,parent_unresolved,crawl_batch_id,run_id,crawled_at
facebook_c_1005422505920756,facebook,https://www.facebook.com/watch?v=1415912760740883,1415912760740883,"Hà Nội sáng 17/9: Cập nhật các điểm ngập, người đi làm cần lưu ý
Hà Nội sáng 17/9 tiếp tục có mưa lớn, nguy cơ úng ngập tại một số khu vực. Cập nhật các tuyến đường, điểm ngập đáng chú ý để người dân chủ động lựa chọn lộ trình trong giờ cao điểm.

Tạp chí Nông nghiệp và Môi trường tiếp tục cập nhật tình hình mưa lớn, ngập úng và giao thông tại Hà Nội.

👉 Theo dõi Tạp chí Nông nghiệp và Môi trường để cập nhật nhanh các thông tin thời tiết, môi trường và đời sống.
#HaNoi #NgapHaNoi #MuaLon #NgapUng #GiaoThongHaNoi #HaNoiSangNay #ThoiTietHaNoi #TapChiNongNghiepVaMoiTruong",(20+) Video,2026-09-16T23:28:24.000Z,2026-09-16T23:28:24+00:00,"Nước từ trên trời zềnh xuống, trăm năm nữa là hết luôn. Thành phố ven sông phải có nước Zềnh mới lãng mạng.",top_level,,1005422505920756,0,"Thứ Năm, 17 Tháng 9, 2026 lúc 09:33",2026-09-17T09:33:00+07:00,0,30f6936b2f8e5bc46733bd102cd537525b25474f,,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T10:46:52.760231+07:00
facebook_c_1006924602407830,facebook,https://www.facebook.com/watch?v=2089192871903856,2089192871903856,"Hà Nội ngập lụt sau trận mưa kỷ lục, người dân vất vả di chuyển!
Nguồn tham khảo: Kenh14

#can #hanoi #thoitiet #mualon #tintuc #tinnong",(20+) Video,2026-09-15T10:50:20.000Z,2026-09-15T10:50:20+00:00,Mấy ông chóp bu bảo chỉ dềnh thôi,top_level,,1006924602407830,0,"Thứ Năm, 17 Tháng 9, 2026 lúc 09:31",2026-09-17T09:31:00+07:00,0,dfd18e77806526affdf87ea148c50da2b911a63c,,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T11:01:37.596948+07:00
facebook_c_1007038165699983,facebook,https://www.facebook.com/watch?v=2055531059170852,2055531059170852,"Thảm hoạ xảy ra cách thủ đô Nepal 100km, trong lúc trời quang mây tạnh, không nắng mưa gió bão. Từ lúc 8:37 phút sáng. Chỉ mất đúng 3 phút khối băng khổng lồ đổ ập xuống từ trên cao, cơn lũ được hình thành, nhấn chìm các làng mạc dưới thung lũng, cuốn phăng tất cả, mô hình xoá sổ không dấu vết.

Không có hồ băng nào bị vỡ. Mà từ độ cao 5.600 mét, một khối đá và băng vĩnh cửu khổng lồ đã bất ngờ đứt gãy. Theo họ, cú rơi ấy sinh nhiệt lượng cực lớn, làm tan chảy hàng triệu tấn tuyết chỉ trong vài giây. Một cơn sóng thần cạn bằng bùn, đá và nước lao đi với vận tốc kinh hoàng, nuốt chửng vùng hạ lưu.

Cuối cùng họ thống nhất kết luận nguyên nhân: “Biến đổi khí hậu.”
-------

Video 3 phút này về lũ lụt ở Nepal ghi lại những gì đã trở thành 3 phút cuối cùng đối với nhiều người trong một thành phố nhỏ và chợ Trishuli Bazar.

Mọi thứ biến mất trong chớp mắt. Những người dân, già trẻ lớn bé, chạy trốn bất cứ đâu họ có thể, cố gắng thoát khỏi cái chết giận dữ và đang cận kề.

Các em học sinh chạy tán loạn, một số vẫn còn kẹt trong xe buýt, một số chạy trên đường phố, khi nỗi hoảng loạn lan rộng khắp khu chợ. Những người bán hàng và cư dân hầu như không có thời gian để cứu vãn bất cứ thứ gì. Nhà cửa, cửa hàng và xe cộ bị cuốn trôi, để lại bùn lầy, những công trình đổ nát và đồ đạc vương vãi khắp nơi, mọi thứ trôi nổi như một chiếc thuyền giấy.

Đối với nhiều người, mọi thứ họ đã xây dựng và sở hữu đã biến mất chỉ trong nháy mắt. Mọi người chạy để giành giật sự sống, trong khi cố gắng ngoái nhìn lại, bất lực chứng kiến khu chợ nhộn nhịp bị chôn vùi hoàn toàn.

RIP 🙏",(20+) Video,2026-08-28T12:17:57.000Z,2026-08-28T12:17:57+00:00,Tài Thần ở Venezuela mới động đất kép kinh khủng không kém đâu . Ở đâu bây giờ cũng sẽ có thiên tai là do biến đổi khí hậu chứ không phải do 1 cá nhân thao túng được nhé . Hậu quả của biến đổi khí hậu thì có nhiều nguyên nhân nhưng đa phần là do con người,reply,1067607265814531,1067607265814531,1,"Thứ Hai, 31 Tháng 8, 2026 lúc 09:33",2026-08-31T09:33:00+07:00,0,,,0,0,facebook_20260925_0714,baseline_20260925_032543,2026-09-25T16:14:34.220019+07:00
facebook_c_1009038292195273,facebook,https://www.facebook.com/watch?v=1130923255924416,1130923255924416,"Hôm nay có việc, mưa to cũng phải lên đường!
Ngoài trời mưa trắng xóa, đường phố thì chỗ nào cũng ùn tắc, nước ngập lưng bánh xe… tham gia giao thông đúng là một hành trình thử thách. 😅

Có người bảo: “Không phải ngập đâu, chỉ là nước dềnh lên thôi!” 😂
Ừ thì gọi là dềnh cho nhẹ nhàng, chứ bánh xe đã gần “bơi” rồi thì chắc cá cũng đang tìm đường về nhà! 🐟🤣

Mưa thì vẫn mưa, đường thì vẫn tắc, thôi cứ bình tĩnh, đi chậm và an toàn. Hà Nội những ngày mưa — vất vả một chút nhưng cũng có thêm những câu chuyện vui để nhớ! 🌧️🚗",(20+) Video,2026-09-17T03:28:55.000Z,2026-09-17T03:28:55+00:00,Bùi Thị Lịch cám ơn cô giáo đã động viẻn,reply,2181781719428311,2181781719428311,1,"Thứ Năm, 17 Tháng 9, 2026 lúc 17:33",2026-09-17T17:33:00+07:00,0,,,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T11:20:50.423005+07:00
facebook_c_1010452858674017,facebook,https://www.facebook.com/watch?v=1822259478787716,1822259478787716,Nam sinh viên nghi bị nước cuốn mất tích khi đi qua đường ngập sâu ở Hà Nội #duchiencreator #tintuc,(20+) Video,2026-09-17T17:36:39.000Z,2026-09-17T17:36:39+00:00,Thương con quá,top_level,,1010452858674017,0,"Thứ Sáu, 18 Tháng 9, 2026 lúc 12:03",2026-09-18T12:03:00+07:00,0,570dbca72ff13ea13e86c1aef6ceca2cde1cb112,,0,0,facebook_20260925_0714,baseline_20260925_032543,2026-09-25T14:30:31.305172+07:00
facebook_c_1014671128313379,facebook,https://www.facebook.com/watch?v=2153749572192454,2153749572192454,"Hy vọng đây sẽ là lần cập nhật cuối cùng trong chuỗi cập nhật ngập lụt lần 1 năm 2026 tại Tây Mỗ nhà em ạ! 🙏🏻
Ngày hôm nay đúng là một phen “thử thách” với bà con khu vực mình 😅 Nước lên, đường ngập, việc đi lại và sinh hoạt của mọi người đều bị ảnh hưởng.

Mong rằng từ giờ nước sẽ rút hẳn, trời thương cho Hà Nội những ngày bình yên, Tây Mỗ nhà em không phải cập nhật thêm lần nào nữa. 🙏🏻❤️
Hết ngập rồi thì chúng ta lại trở về với những ngày bình thường thôi! 💪🏻❤️

#TayMo #HaNoi #NgapLut2026 #CapNhatTayMo #MongMoiNguoiBinhAn",(20+) Video,2026-09-17T11:28:23.000Z,2026-09-17T11:28:23+00:00,Thanh Tâm Yoga em sang nhá,reply,2560658207774393,2560658207774393,1,"Thứ Năm, 17 Tháng 9, 2026 lúc 18:39",2026-09-17T18:39:00+07:00,0,,,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T10:55:35.330859+07:00
facebook_c_1014986381598908,facebook,https://www.facebook.com/watch?v=1415912760740883,1415912760740883,"Hà Nội sáng 17/9: Cập nhật các điểm ngập, người đi làm cần lưu ý
Hà Nội sáng 17/9 tiếp tục có mưa lớn, nguy cơ úng ngập tại một số khu vực. Cập nhật các tuyến đường, điểm ngập đáng chú ý để người dân chủ động lựa chọn lộ trình trong giờ cao điểm.

Tạp chí Nông nghiệp và Môi trường tiếp tục cập nhật tình hình mưa lớn, ngập úng và giao thông tại Hà Nội.

👉 Theo dõi Tạp chí Nông nghiệp và Môi trường để cập nhật nhanh các thông tin thời tiết, môi trường và đời sống.
#HaNoi #NgapHaNoi #MuaLon #NgapUng #GiaoThongHaNoi #HaNoiSangNay #ThoiTietHaNoi #TapChiNongNghiepVaMoiTruong",(20+) Video,2026-09-16T23:28:24.000Z,2026-09-16T23:28:24+00:00,Ngập hết rồi làm gì phải cập nhật .,top_level,,1014986381598908,0,"Thứ Năm, 17 Tháng 9, 2026 lúc 10:26",2026-09-17T10:26:00+07:00,0,52fd217cda5160d65dca1a05a06aee6144c0a977,flood_state,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T10:46:52.745669+07:00
facebook_c_1015394148203476,facebook,https://www.facebook.com/watch?v=1415912760740883,1415912760740883,"Hà Nội sáng 17/9: Cập nhật các điểm ngập, người đi làm cần lưu ý
Hà Nội sáng 17/9 tiếp tục có mưa lớn, nguy cơ úng ngập tại một số khu vực. Cập nhật các tuyến đường, điểm ngập đáng chú ý để người dân chủ động lựa chọn lộ trình trong giờ cao điểm.

Tạp chí Nông nghiệp và Môi trường tiếp tục cập nhật tình hình mưa lớn, ngập úng và giao thông tại Hà Nội.

👉 Theo dõi Tạp chí Nông nghiệp và Môi trường để cập nhật nhanh các thông tin thời tiết, môi trường và đời sống.
#HaNoi #NgapHaNoi #MuaLon #NgapUng #GiaoThongHaNoi #HaNoiSangNay #ThoiTietHaNoi #TapChiNongNghiepVaMoiTruong",(20+) Video,2026-09-16T23:28:24.000Z,2026-09-16T23:28:24+00:00,Dềnh thế này chỉ đi suông và tàu bay thôi,top_level,,1015394148203476,0,"Thứ Năm, 17 Tháng 9, 2026 lúc 12:27",2026-09-17T12:27:00+07:00,0,28ce7811281405033aab0f1d311eae25b55a767e,transport_impact,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T10:46:52.729113+07:00
facebook_c_1017407308020139,facebook,https://www.facebook.com/watch?v=2269228537163265,2269228537163265,"Công chúa nào hè chưa được trở về biển thì tranh thủ ra ngay bờ biển Hawai của Mỹ nhé, anh chị ở Hà Nội có ổn không, cập nhật tình hình ngập úng lụt lội ở khu mình đi các bác ơi  🏊🏻‍♀️🏊🏻‍♀️🏊🏻‍♀️

Sân vận động quốc gia Mỹ Đình ngày 17.9.2026
#sanvandongquocgiamydinh #bienoi #BAO92026",(20+) Video,2026-09-17T05:38:56.000Z,2026-09-17T05:38:56+00:00,Nước Dềnh mênh mông quá....,top_level,,1017407308020139,0,"Thứ Năm, 17 Tháng 9, 2026 lúc 21:38",2026-09-17T21:38:00+07:00,0,dec5c7078e3021b6b9813e32424dc5ae2b4d36d4,,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T10:48:13.597840+07:00
facebook_c_1021406270905404,facebook,https://www.facebook.com/watch?v=1130923255924416,1130923255924416,"Hôm nay có việc, mưa to cũng phải lên đường!
Ngoài trời mưa trắng xóa, đường phố thì chỗ nào cũng ùn tắc, nước ngập lưng bánh xe… tham gia giao thông đúng là một hành trình thử thách. 😅

Có người bảo: “Không phải ngập đâu, chỉ là nước dềnh lên thôi!” 😂
Ừ thì gọi là dềnh cho nhẹ nhàng, chứ bánh xe đã gần “bơi” rồi thì chắc cá cũng đang tìm đường về nhà! 🐟🤣

Mưa thì vẫn mưa, đường thì vẫn tắc, thôi cứ bình tĩnh, đi chậm và an toàn. Hà Nội những ngày mưa — vất vả một chút nhưng cũng có thêm những câu chuyện vui để nhớ! 🌧️🚗",(20+) Video,2026-09-17T03:28:55.000Z,2026-09-17T03:28:55+00:00,HN mưa to thế à A Nguyễn Khắc Ngọc,top_level,,1021406270905404,0,"Thứ Sáu, 18 Tháng 9, 2026 lúc 19:54",2026-09-18T19:54:00+07:00,0,77785b9fdfd115664cf7f22a59576b812f9e9130,hanoi_location,0,0,facebook_20260925_0325,baseline_20260925_032543,2026-09-25T11:20:50.422004+07:00
