id,platform,source_url,context_id,post_context,post_title,post_published_at_raw,post_published_at,comment_text,comment_type,parent_comment_id,thread_id,reply_depth,posted_at_raw,posted_at,likes_count,author_key,matched_groups,co_thanh_pho_khac,parent_unresolved,crawl_batch_id,run_id,crawled_at
facebook_c_1760082401949520,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Hà Nội mùa nước ngập sâu Xe không đi được phải quay đầu …,top_level,,1760082401949520,0,"Thứ Sáu, 18 Tháng 9, 2026 lúc 11:53",2026-09-18T11:53:00+07:00,0,46e8d4a118ae3ea62b56691f09ec616a0acfb378,"flood_state,transport_impact,hanoi_location",0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.222614+07:00
facebook_c_1760089795282114,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Phạm Văn Tuấn bạn hoạ thơ hay,reply,1760082401949520,1760082401949520,1,"Thứ Sáu, 18 Tháng 9, 2026 lúc 12:07",2026-09-18T12:07:00+07:00,0,,hanoi_location,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.223618+07:00
facebook_c_1760112125279881,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Ngâp nc thê nay ai mac vay do lên hêt ma lôi,top_level,,1760112125279881,0,"Thứ Sáu, 18 Tháng 9, 2026 lúc 12:48",2026-09-18T12:48:00+07:00,0,42e13f2753ff190397ca3f87a612334d019d2dd5,hanoi_location,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.227835+07:00
facebook_c_1760165211941239,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Zây ướt hết sao,top_level,,1760165211941239,0,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00+07:00,0,d9d9f66a31c65dae124aada4caf90411de6c531d,,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.215624+07:00
facebook_c_1760188838605543,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Ty Le bạn bình luận vui,reply,1760165211941239,1760165211941239,1,"Thứ Sáu, 18 Tháng 9, 2026 lúc 15:00",2026-09-18T15:00:00+07:00,0,,hanoi_location,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.217622+07:00
facebook_c_1760222105268883,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Bài thơ bạn viết rất hay chúc mừng Thi Phẩm,top_level,,1760222105268883,0,"Thứ Sáu, 18 Tháng 9, 2026 lúc 15:57",2026-09-18T15:57:00+07:00,0,50c13fd348b0cc7608a1fdfab2b36ce7beb33dd8,hanoi_location,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.226837+07:00
facebook_c_1760229685268125,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Vanthanh Tran bạn đã động viên,reply,1760222105268883,1760222105268883,1,"Thứ Sáu, 18 Tháng 9, 2026 lúc 16:10",2026-09-18T16:10:00+07:00,0,,hanoi_location,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.226837+07:00
facebook_c_1760237691933991,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Day Nguyen,reply,1760222105268883,1760222105268883,1,"Thứ Sáu, 18 Tháng 9, 2026 lúc 16:25",2026-09-18T16:25:00+07:00,0,,hanoi_location,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.227835+07:00
facebook_c_1760236761934084,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Ngap cho mat .có gì đâu nè...,top_level,,1760236761934084,0,"Thứ Sáu, 18 Tháng 9, 2026 lúc 16:23",2026-09-18T16:23:00+07:00,0,68e5101d15429aea19eafed46717bc10e3ea51e7,,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.223618+07:00
facebook_c_1760291511928609,facebook,https://www.facebook.com/groups/360819065209201/posts/1759927131965047,1759927131965047,"NGẬP ÚNG 

Nước ở thành Hà Nội ngập sâu 
Giao thông tắc nghẽn chẳng đông đâu
Nhiều xe chết máy không đi được 
Bách bộ mò đường cũng rất lâu 

TG Nguyễn Đẩy BN 

18.9.2026.

Ảnh mạng",(20+) TỨ TUYỆT THƠ | NGẬP ÚNG,"Thứ Sáu, 18 Tháng 9, 2026 lúc 14:19",2026-09-18T14:19:00,Tu Nguyen bạn bình luận hay,reply,1760236761934084,1760236761934084,1,"Thứ Sáu, 18 Tháng 9, 2026 lúc 17:49",2026-09-18T17:49:00+07:00,0,,hanoi_location,0,0,facebook_smoke,baseline_20260925_025229,2026-09-25T09:55:32.225843+07:00
